slug,min_precip,max_precip
arctostaphylos-manzanita-subsp-wieslanderi,300,1600
arctostaphylos-montana,200,500
arctostaphylos-nevadensis,400,2100
arctostaphylos-nortensis,300,900
arctostaphylos-parryana,200,500
arctostaphylos-patula,300,1600
arctostaphylos-pungens,200,500
arctostaphylos-uva-ursi-af36d6ab-97ea-4146-8581-3baf62d4f52f,300,1200
arctostaphylos-uva-ursi-ssp-adenotricha,300,1200
arctostaphylos-uva-ursi-ssp-coactilis,300,1200
arctostaphylos-uva-ursi-ssp-coloradensis,300,1200
arctostaphylos-uva-ursi-ssp-emundsii,300,1200
arctostaphylos-uva-ursi-ssp-longipilosa,300,-1
arctostaphylos-uva-ursi-ssp-monoensis,300,1200
arctostaphylos-uva-ursi-ssp-myrtifolia,300,1200
arctostaphylos-uva-ursi-ssp-sensitiva,300,1200
arctostaphylos-uva-ursi-ssp-stipitata,300,1200
arctous-rubra,300,5100
argemone-pinnatisecta,100,400
argemone-polyanthemos,200,400
argentina-anserina,200,1100
argyrochosma-limitanea-subsp-mexicana,0,600
arisaema-quinatum,800,1300
arisaema-triphyllum,800,1300
aristida-arizonica,0,400
armeria-alpina,800,1600
armeria-maritima,800,1600
armeria-maritima-subsp-californica,800,1600
armeria-maritima-subsp-elongata,800,1600
armeria-maritima-subsp-interior,800,1600
armeria-maritima-subsp-purpurea,800,1600
armeria-maritima-subsp-sibirica,800,1600
arnica-chamissonis,300,700
arnica-chamissonis-ssp-chamissonis-var-chamissonis,300,700
arnica-chamissonis-ssp-chamissonis-var-interior,300,700
arnica-chamissonis-ssp-foliosa-var-andina,300,700
arnica-chamissonis-ssp-foliosa-var-bernardina,300,-1
arnica-chamissonis-ssp-foliosa-var-incana,300,700
arnica-chamissonis-ssp-foliosa-var-maguirei,300,700
arnica-cordifolia,200,900
arnica-fulgens,400,1600
arnica-griscomii,800,2800
arnica-griscomii-subsp-frigida,800,2800
arnica-lanceolata-subsp-prima,500,1100
arnica-latifolia,300,1100
arnica-longifolia,400,1600
arnica-ovata,400,800
arrhenatherum-elatius,800,1200
arrhenatherum-elatius-subsp-bulbosum,800,1200
artemisia-arbuscula,100,600
artemisia-arbuscula-subsp-longicaulis,100,600
artemisia-arbuscula-subsp-longiloba,100,600
artemisia-arbuscula-subsp-thermopola,100,600
artemisia-arctica-subsp-arctica,200,1600
