distribution_slug,name,tdwg_code,level,parent_slug,parent_name,lat,lng,species_count
bur,Burundi,BUR,3,23,West-Central Tropical Africa,-3,29,2896
bry,Buryatiya,BRY,3,30,Siberia,52,109,1804
cab,Cabinda,CAB,3,23,West-Central Tropical Africa,-5,12,923
cal,California,CAL,3,76,Southwestern U.S.A.,36,-118,7422
cbd,Cambodia,CBD,3,41,Indo-China,13,104,3360
cmn,Cameroon,CMN,3,23,West-Central Tropical Africa,4,13,7207
mxt-ca,Campeche,MXT-CA,4,mxt,Mexico Southeast,19,-89,0
cny,Canary Is.,CNY,3,21,Macaronesia,44,-91,2359
cpp,Cape Provinces,CPP,3,27,Southern Africa,-33,18,16682
cvi,Cape Verde,CVI,3,21,Macaronesia,16,-24,739
cpv,Caprivi Strip,CPV,3,27,Southern Africa,-17,22,588
crl,Caroline Is.,CRL,3,62,Northwestern Pacific,-9,-150,1017
agw-ca,Catamarca,AGW-CA,4,agw,Argentina Northwest,-27,-67,0
cay,Cayman Is.,CAY,3,81,Caribbean,1,-74,726
bze-ce,Ceara,BZE-CE,4,bze,Brazil Northeast,-5,-39,0
caf,Central African Repu,CAF,3,23,West-Central Tropical Africa,0,0,3783
cpi,Central American Pac,CPI,3,80,Central America,43,-70,237
ruc,Central European Rus,RUC,3,14,Eastern Europe,55,61,2297
age-ch,Chaco,AGE-CH,4,age,Argentina Northeast,-26,-60,0
cha,Chad,CHA,3,24,Northeast Tropical Africa,15,19,2287
cgs,Chagos Archipelago,CGS,3,29,Western Indian Ocean,-6,71,210
ind-ch,Chandigarh,IND-CH,4,ind,India,30,76,0
fra-ci,Channel Is.,FRA-CI,4,fra,France,30,-88,0
ctm,Chatham Is.,CTM,3,51,New Zealand,-43,-176,508
ncs-ch,Chechnya,NCS-CH,4,ncs,North Caucasus,43,45,0
ind-ct,Chhattisgarh,IND-CT,4,ind,India,21,81,0
mxt-ci,Chiapas,MXT-CI,4,mxt,Mexico Southeast,16,-92,0
mxe-cu,Chihuahua,MXE-CU,4,mxe,Mexico Northeast,28,-106,0
clc,Chile Central,CLC,3,85,Southern South America,-18,-69,3497
cln,Chile North,CLN,3,85,Southern South America,-27,-55,1866
cls,Chile South,CLS,3,85,Southern South America,6,-72,1634
chn,China North-Central,CHN,3,36,China,22,114,5928
chc,China South-Central,CHC,3,36,China,22,114,19959
chs,China Southeast,CHS,3,36,China,22,113,11550
cta,Chita,CTA,3,30,Siberia,52,113,1535
chc-cq,Chongqing,CHC-CQ,4,chc,China South-Central,29,106,0
