distribution_slug,name,tdwg_code,level,parent_slug,parent_name,lat,lng,species_count
lee-mo,Montserrat,LEE-MO,4,lee,Leeward Is.,16,-62,0
mxc-mo,Morelos,MXC-MO,4,mxc,Mexico Central,18,-99,0
mor,Morocco,MOR,3,20,Northern Africa,31,-7,4585
moz,Mozambique,MOZ,3,26,South Tropical Africa,-19,34,5546
mci,Mozambique Channel I,MCI,3,29,Western Indian Ocean,-15,42,87
tvl-mp,Mpumalanga,TVL-MP,4,tvl,Northern Provinces,-26,30,0
mya,Myanmar,MYA,3,41,Indo-China,17,95,9301
ass-na,Nagaland,ASS-NA,4,ass,Assam,26,94,0
tcs-nk,Nagorno Karabakh,TCS-NK,4,tcs,Transcaucasus,39,46,0
tcs-na,Nakhichevan,TCS-NA,4,tcs,Transcaucasus,39,45,0
nam,Namibia,NAM,3,27,Southern Africa,-23,17,3971
nns,Nansei-shoto,NNS,3,38,Eastern Asia,26,128,1772
nru,Nauru,NRU,3,60,Southwestern Pacific,0,166,176
hai-ni,Navassa I.,HAI-NI,4,hai,Haiti,18,-75,0
mxs-na,Nayarit,MXS-NA,4,mxs,Mexico Southwest,21,-104,0
neb,Nebraska,NEB,3,74,North-Central U.S.A.,41,-99,1651
chi-nm,Nei Mongol,CHI-NM,4,chi,Inner Mongolia,43,114,0
nep,Nepal,NEP,3,40,Indian Subcontinent,28,84,5728
net,Netherlands,NET,3,11,Middle Europe,52,5,2151
nla,Netherlands Antilles,NLA,3,81,Caribbean,12,-68,588
lee-nl,Netherlands Leeward Is.,LEE-NL,4,lee,Leeward Is.,-49,178,0
ags-ne,Neuquen,AGS-NE,4,ags,Argentina South,-38,-69,0
nev,Nevada,NEV,3,76,Southwestern U.S.A.,39,-116,3046
nbr,New Brunswick,NBR,3,72,Eastern Canada,46,-66,1370
nwc,New Caledonia,NWC,3,60,Southwestern Pacific,-20,164,3444
nfl,Newfoundland,NFL,3,72,Eastern Canada,49,-56,1158
nwg,New Guinea,NWG,3,43,Papuasia,-5,142,12933
nwh,New Hampshire,NWH,3,75,Northeastern U.S.A.,43,-71,1811
nwj,New Jersey,NWJ,3,75,Northeastern U.S.A.,40,-74,2377
nwm,New Mexico,NWM,3,77,South-Central U.S.A.,34,-105,4103
nsw,New South Wales,NSW,3,50,Australia,-31,147,6233
nwy,New York,NWY,3,75,Northeastern U.S.A.,40,-74,3752
nzn,New Zealand North,NZN,3,51,New Zealand,-48,166,2303
nzs,New Zealand South,NZS,3,51,New Zealand,-41,174,2428
nic,Nicaragua,NIC,3,80,Central America,12,-85,5669
swc-nc,Nicaraguan Caribbean Is.,SWC-NC,4,swc,Southwest Caribbean,65,-18,0
ncb,Nicobar Is.,NCB,3,41,Indo-China,7,93,1429
ngr,Niger,NGR,3,22,West Tropical Africa,17,9,1129
nga,Nigeria,NGA,3,22,West Tropical Africa,9,7,4868
chi-nx,Ningxia,CHI-NX,4,chi,Inner Mongolia,37,105,0
nue,Niue,NUE,3,60,Southwestern Pacific,-19,-169,420
nfk-ni,Norfolk I.,NFK-NI,4,nfk,Norfolk Is.,-29,167,0
nfk,Norfolk Is.,NFK,3,50,Australia,-29,167,717
nca,North Carolina,NCA,3,78,Southeastern U.S.A.,35,-79,3237
ncs,North Caucasus,NCS,3,33,Caucasus,49,24,3110
nda,North Dakota,NDA,3,74,North-Central U.S.A.,47,-100,1281
cpp-nc,Northern Cape Province,CPP-NC,4,cpp,Cape Provinces,-26,27,0
ire-ni,Northern Ireland,IRE-NI,4,ire,Ireland,54,-6,0
mrn-nm,Northern Marianas,MRN-NM,4,mrn,Marianas,14,145,0
tvl-np,Northern Province,TVL-NP,4,tvl,Northern Provinces,9,80,0
tvl,Northern Provinces,TVL,3,27,Southern Africa,32,-5,5912
nta,Northern Territory,NTA,3,50,Australia,-19,133,3817
run,North European Russi,RUN,3,14,Eastern Europe,55,61,1987
kor-nk,North Korea,KOR-NK,4,kor,Korea,40,127,0
sol-no,North Solomons,SOL-NO,4,sol,Solomon Is.,38,-76,0
ruw,Northwest European R,RUW,3,14,Eastern Europe,-37,144,1690
tvl-nw,North-West Province,TVL-NW,4,tvl,Northern Provinces,-19,158,0
nwt,Northwest Territorie,NWT,3,70,Subarctic America,0,0,1025
yem-ny,North Yemen,YEM-NY,4,yem,Yemen,15,44,0
nor,Norway,NOR,3,10,Northern Europe,64,11,2302
nsc,Nova Scotia,NSC,3,72,Eastern Canada,45,-63,1394
mxe-nl,Nuevo León,MXE-NL,4,mxe,Mexico Northeast,0,0,0
nun,Nunavut,NUN,3,70,Subarctic America,65,-92,585
mxs-oa,Oaxaca,MXS-OA,4,mxs,Mexico Southwest,17,-96,0
oga,Ogasawara-shoto,OGA,3,38,Eastern Asia,27,142,462
clc-oh,O'Higgins,CLC-OH,4,clc,Chile Central,-48,-72,0
ohi,Ohio,OHI,3,75,Northeastern U.S.A.,40,-82,2368
okl,Oklahoma,OKL,3,74,North-Central U.S.A.,34,-97,2437
oma,Oman,OMA,3,35,Arabian Peninsula,21,57,1290
ont,Ontario,ONT,3,72,Eastern Canada,50,-86,2661
ore,Oregon,ORE,3,73,Northwestern U.S.A.,43,-120,3837
ind-or,Orissa,IND-OR,4,ind,India,20,84,0
pak,Pakistan,PAK,3,40,Indian Subcontinent,30,71,4456
crl-pa,Palau,CRL-PA,4,crl,Caroline Is.,7,134,0
pal,Palestine,PAL,3,34,Western Asia,31,35,2961
pan,Panamá,PAN,3,80,Central America,8,-81,9506
nwg-pn,Papua New Guinea,NWG-PN,4,nwg,New Guinea,-5,144,0
bzn-pa,Para,BZN-PA,4,bzn,Brazil North,-4,-52,0
scs-pi,Paracel Is.,SCS-PI,4,scs,South China Sea,45,-75,0
par,Paraguay,PAR,3,85,Southern South America,-23,-58,5419
bze-pb,Paraiba,BZE-PB,4,bze,Brazil Northeast,-7,-36,0
bzs-pr,Parana,BZS-PR,4,bzs,Brazil South,-24,-51,0
mly-pm,Peninsular Malaysia,MLY-PM,4,mly,Malaya,3,101,0
pen,Pennsylvania,PEN,3,75,Northeastern U.S.A.,40,-77,2729
bze-pe,Pernambuco,BZE-PE,4,bze,Brazil Northeast,-8,-37,0
per,Peru,PER,3,83,Western South America,-6,-75,20043
phi,Philippines,PHI,3,42,Malesia,12,122,8990
phx,Phoenix Is.,PHX,3,60,Southwestern Pacific,18,109,70
bze-pi,Piaui,BZE-PI,4,bze,Brazil Northeast,-7,-42,0
pit,Pitcairn Is.,PIT,3,61,South-Central Pacific,-25,-130,129
pol,Poland,POL,3,11,Middle Europe,52,19,3028
ind-po,Pondicherry,IND-PO,4,ind,India,11,79,0
por,Portugal,POR,3,12,Southwestern Europe,40,-7,3038
prm,Primorye,PRM,3,31,Russian Far East,57,54,2310
pei,Prince Edward I.,PEI,3,72,Eastern Canada,46,-63,862
ggi-pr,Príncipe,GGI-PR,4,ggi,Gulf of Guinea Is.,0,0,0
mxc-pu,Puebla,MXC-PU,4,mxc,Mexico Central,18,-98,0
pue,Puerto Rico,PUE,3,81,Caribbean,18,-66,3173
ind-pu,Punjab,IND-PU,4,ind,India,30,75,0
gst-qa,Qatar,GST-QA,4,gst,Gulf States,25,51,0
chq,Qinghai,CHQ,3,36,China,35,95,2226
que,Québec,QUE,3,72,Eastern Canada,0,0,2300
qld,Queensland,QLD,3,50,Australia,-22,144,8267
mxe-qu,Querétaro,MXE-QU,4,mxe,Mexico Northeast,0,0,0
mxt-qr,Quintana Roo,MXT-QR,4,mxt,Mexico Southeast,19,-88,0
ind-ra,Rajasthan,IND-RA,4,ind,India,26,73,0
reu,Réunion,REU,3,29,Western Indian Ocean,0,0,1632
mxi-rg,Revillagigedo Is.,MXI-RG,4,mxi,Mexican Pacific Is.,55,-131,0
rho,Rhode I.,RHO,3,75,Northeastern U.S.A.,41,-71,1587
bzl-rj,Rio de Janeiro,BZL-RJ,4,bzl,Brazil Southeast,-22,-43,0
bze-rn,Rio Grande do Norte,BZE-RN,4,bze,Brazil Northeast,-5,-36,0
bzs-rs,Rio Grande do Sul,BZS-RS,4,bzs,Brazil South,-29,-53,0
ags-rn,Rio Negro,AGS-RN,4,ags,Argentina South,-26,-49,0
mxi-ra,Rocas Alijos,MXI-RA,4,mxi,Mexican Pacific Is.,24,-115,0
rod,Rodrigues,ROD,3,29,Western Indian Ocean,-19,63,399
rom,Romania,ROM,3,13,Southeastern Europe,45,24,3637
bzn-ro,Rondonia,BZN-RO,4,bzn,Brazil North,-10,-62,0
bzn-rm,Roraima,BZN-RM,4,bzn,Brazil North,2,-61,0
rwa,Rwanda,RWA,3,23,West-Central Tropical Africa,-1,30,2677
bor-sb,Sabah,BOR-SB,4,bor,Borneo,5,117,0
sak,Sakhalin,SAK,3,31,Russian Far East,50,143,1383
agw-sa,Salta,AGW-SA,4,agw,Argentina Northwest,-25,-64,0
sam,Samoa,SAM,3,60,Southwestern Pacific,-13,-172,1085
agw-sj,San Juan,AGW-SJ,4,agw,Argentina Northwest,18,-66,0
agw-sl,San Luis,AGW-SL,4,agw,Argentina Northwest,-33,-65,0
mxe-sl,San Luis Potosí,MXE-SL,4,mxe,Mexico Northeast,0,0,0
ita-sm,San Marino,ITA-SM,4,ita,Italy,43,12,0
bzs-sc,Santa Catarina,BZS-SC,4,bzs,Brazil South,-27,-51,0
ags-sc,Santa Cruz,AGS-SC,4,ags,Argentina South,28,-16,0
scz,Santa Cruz Is.,SCZ,3,60,Southwestern Pacific,34,-119,247
age-sf,Santa Fe,AGE-SF,4,age,Argentina Northeast,-30,-61,0
clc-sa,Santiago,CLC-SA,4,clc,Chile Central,9,-83,0
agw-se,Santiago del Estero,AGW-SE,4,agw,Argentina Northwest,-27,-63,0
bzl-sp,Sao Paulo,BZL-SP,4,bzl,Brazil Southeast,-23,-46,0
ggi-st,São Tomé,GGI-ST,4,ggi,Gulf of Guinea Is.,0,0,0
bor-sr,Sarawak,BOR-SR,4,bor,Borneo,2,112,0
sar,Sardegna,SAR,3,12,Southwestern Europe,40,9,2157
sas,Saskatchewan,SAS,3,71,Western Canada,55,-106,1409
sau,Saudi Arabia,SAU,3,35,Arabian Peninsula,25,42,2151
sel,Selvagens,SEL,3,21,Macaronesia,30,-15,103
sen,Senegal,SEN,3,22,West Tropical Africa,14,-14,2266
yug-se,Serbia,YUG-SE,4,yug,Yugoslavia,44,21,0
bze-se,Sergipe,BZE-SE,4,bze,Brazil Northeast,-10,-37,0
ncs-so,Severo-Osetiya,NCS-SO,4,ncs,North Caucasus,0,0,0
sey,Seychelles,SEY,3,29,Western Indian Ocean,-4,55,686
chn-sa,Shaanxi,CHN-SA,4,chn,China North-Central,36,109,0
chn-sd,Shandong,CHN-SD,4,chn,China North-Central,36,118,0
chs-sh,Shanghai,CHS-SH,4,chs,China Southeast,31,121,0
chn-sx,Shanxi,CHN-SX,4,chn,China North-Central,37,112,0
jap-sh,Shikoku,JAP-SH,4,jap,Japan,33,133,0
chc-sc,Sichuan,CHC-SC,4,chc,China South-Central,30,102,0
sic,Sicilia,SIC,3,13,Southeastern Europe,37,14,2713
sie,Sierra Leone,SIE,3,22,West Tropical Africa,8,-11,2772
ehm-si,Sikkim,EHM-SI,4,ehm,East Himalaya,27,88,0
sin,Sinai,SIN,3,34,Western Asia,29,33,1287
mxn-si,Sinaloa,MXN-SI,4,mxn,Mexico Northwest,25,-107,0
mly-si,Singapore,MLY-SI,4,mly,Malaya,1,103,0
cze-sl,Slovakia,CZE-SL,4,cze,Czechoslovakia,48,19,0
yug-sl,Slovenia,YUG-SL,4,yug,Yugoslavia,45,14,0
sci,Society Is.,SCI,3,61,South-Central Pacific,-3,-38,967
soc,Socotra,SOC,3,24,Northeast Tropical Africa,12,53,835
sol,Solomon Is.,SOL,3,43,Papuasia,36,-83,2277
som,Somalia,SOM,3,24,Northeast Tropical Africa,8,49,3223
mxn-so,Sonora,MXN-SO,4,mxn,Mexico Northwest,29,-110,0
soa,South Australia,SOA,3,50,Australia,-30,135,3537
sca,South Carolina,SCA,3,78,Southeastern U.S.A.,33,-80,2877
scs,South China Sea,SCS,3,41,Indo-China,15,114,285
sda,South Dakota,SDA,3,74,North-Central U.S.A.,44,-100,1557
rus,South European Russi,RUS,3,14,Eastern Europe,55,61,2213
sge,South Georgia,SGE,3,90,Subantarctic Islands,-54,-36,73
kor-sk,South Korea,KOR-SK,4,kor,Korea,36,127,0
ssa,South Sandwich Is.,SSA,3,90,Subantarctic Islands,50,-4,2
sol-so,South Solomons,SOL-SO,4,sol,Solomon Is.,38,-76,0
swc,Southwest Caribbean,SWC,3,81,Caribbean,18,-75,336
yem-sy,South Yemen,YEM-SY,4,yem,Yemen,14,44,0
spa,Spain,SPA,3,12,Southwestern Europe,39,-4,7016
mor-sp,Spanish North African Territories,MOR-SP,4,mor,Morocco,0,0,0
scs-si,Spratly Is.,SCS-SI,4,scs,South China Sea,8,111,0
srl,Sri Lanka,SRL,3,40,Indian Subcontinent,7,80,4135
ncs-st,Stavropol,NCS-ST,4,ncs,North Caucasus,45,41,0
sth,St.Helena,STH,3,28,Middle Atlantic Ocean,-15,-5,437
lee-sk,St. Kitts-Nevis,LEE-SK,4,lee,Leeward Is.,17,-62,0
win-sl,St. Lucia,WIN-SL,4,win,Windward Is.,13,-60,0
lee-sm,St. Martin-St. Barthelemy,LEE-SM,4,lee,Leeward Is.,17,-62,0
nfl-sp,St. Pierre-Miquelon,NFL-SP,4,nfl,Newfoundland,46,-56,0
win-sv,St. Vincent,WIN-SV,4,win,Windward Is.,12,-61,0
sud,Sudan,SUD,3,24,Northeast Tropical Africa,14,29,4189
sul,Sulawesi,SUL,3,42,Malesia,-1,120,4306
sum,Sumatera,SUM,3,42,Malesia,0,102,6946
sur,Suriname,SUR,3,82,Northern South America,4,-56,4404
sva,Svalbard,SVA,3,10,Northern Europe,78,20,197
tok-sw,Swains I.,TOK-SW,4,tok,Tokelau-Manihiki,-11,-171,0
swz,Swaziland,SWZ,3,27,Southern Africa,-26,31,2758
swe,Sweden,SWE,3,10,Northern Europe,59,14,3938
swi,Switzerland,SWI,3,11,Middle Europe,46,8,3641
lbs-sy,Syria,LBS-SY,4,lbs,Lebanon-Syria,34,39,0
mxt-tb,Tabasco,MXT-TB,4,mxt,Mexico Southeast,17,-92,0
tzk,Tadzhikistan,TZK,3,32,Middle Asia,38,70,4295
tai,Taiwan,TAI,3,38,Eastern Asia,23,120,4702
mxe-ta,Tamaulipas,MXE-TA,4,mxe,Mexico Northeast,23,-98,0
ind-tn,Tamil Nadu,IND-TN,4,ind,India,10,78,0
tan,Tanzania,TAN,3,25,East Tropical Africa,-6,35,10469
cln-ta,Tarapaca,CLN-TA,4,cln,Chile North,-20,-69,0
tas,Tasmania,TAS,3,50,Australia,-42,146,2024
ten,Tennessee,TEN,3,78,Southeastern U.S.A.,35,-86,2962
tex,Texas,TEX,3,77,South-Central U.S.A.,31,-99,5236
tha,Thailand,THA,3,41,Indo-China,14,100,10474
chn-tj,Tianjin,CHN-TJ,4,chn,China North-Central,39,117,0
cht,Tibet,CHT,3,36,China,29,90,6966
ags-tf,Tierra del Fuego (Argentina),AGS-TF,4,ags,Argentina South,-54,-67,0
mxc-tl,Tlaxcala,MXC-TL,4,mxc,Mexico Central,19,-98,0
bzn-to,Tocantins,BZN-TO,4,bzn,Brazil North,-10,-48,0
tog,Togo,TOG,3,22,West Tropical Africa,8,1,2109
tok-to,Tokelau,TOK-TO,4,tok,Tokelau-Manihiki,-9,-171,0
tok,Tokelau-Manihiki,TOK,3,60,Southwestern Pacific,0,0,137
ton,Tonga,TON,3,60,Southwestern Pacific,-19,-175,730
tcs,Transcaucasus,TCS,3,33,Caucasus,42,45,5609
bzl-tr,Trindade,BZL-TR,4,bzl,Brazil Southeast,-16,-49,0
trt,Trinidad-Tobago,TRT,3,81,Caribbean,10,-60,3435
ass-tr,Tripura,ASS-TR,4,ass,Assam,23,91,0
tdc,Tristan da Cunha,TDC,3,90,Subantarctic Islands,-38,-11,223
tua,Tuamotu,TUA,3,61,South-Central Pacific,-18,-141,181
tub,Tubuai Is.,TUB,3,61,South-Central Pacific,-23,-149,351
agw-tu,Tucuman,AGW-TU,4,agw,Argentina Northwest,-26,-64,0
tun,Tunisia,TUN,3,20,Northern Africa,33,9,2560
tur,Turkey,TUR,3,34,Western Asia,38,34,10277
tue,Turkey-in-Europe,TUE,3,13,Southeastern Europe,41,28,2283
tkm,Turkmenistan,TKM,3,32,Middle Asia,39,59,2736
tci,Turks-Caicos Is.,TCI,3,81,Caribbean,21,-71,452
tva,Tuva,TVA,3,30,Siberia,51,93,1652
tuv,Tuvalu,TUV,3,60,Southwestern Pacific,-8,179,83
uga,Uganda,UGA,3,25,East Tropical Africa,1,32,5037
ukr,Ukraine,UKR,3,14,Eastern Europe,49,31,3491
gst-ua,United Arab Emirates,GST-UA,4,gst,Gulf States,24,53,0
uru,Uruguay,URU,3,85,Southern South America,-32,-56,2929
lin-us,U.S. Line Is.,LIN-US,4,lin,Line Is.,40,-73,0
uta,Utah,UTA,3,76,Southwestern U.S.A.,39,-111,3332
whm-ut,Uttaranchal,WHM-UT,4,whm,West Himalaya,30,78,0
ind-up,Uttar Pradesh,IND-UP,4,ind,India,27,80,0
uzb,Uzbekistan,UZB,3,32,Middle Asia,41,63,3831
clc-va,Valparaiso,CLC-VA,4,clc,Chile Central,-33,-71,0
van,Vanuatu,VAN,3,60,Southwestern Pacific,-16,168,1055
ita-vc,Vatican City,ITA-VC,4,ita,Italy,41,12,0
ven,Venezuela,VEN,3,82,Northern South America,8,-66,16178
vna,Venezuelan Antilles,VNA,3,81,Caribbean,0,0,1045
mxg-vc,Veracruz,MXG-VC,4,mxg,Mexico Gulf,19,-96,0
ver,Vermont,VER,3,75,Northeastern U.S.A.,44,-72,2294
vic,Victoria,VIC,3,50,Australia,-36,144,3663
vie,Vietnam,VIE,3,41,Indo-China,13,108,11298
vrg,Virginia,VRG,3,78,Southeastern U.S.A.,37,-78,2970
lee-vi,Virgin Is.,LEE-VI,4,lee,Leeward Is.,42,-83,0
wak,Wake I.,WAK,3,62,Northwestern Pacific,19,166,43
wal,Wallis-Futuna Is.,WAL,3,60,Southwestern Pacific,-14,-178,407
was,Washington,WAS,3,73,Northwestern U.S.A.,38,-77,3016
ind-wb,West Bengal,IND-WB,4,ind,India,22,87,0
wau,Western Australia,WAU,3,50,Australia,-25,121,9883
cpp-wc,Western Cape Province,CPP-WC,4,cpp,Cape Provinces,-33,18,0
wsa,Western Sahara,WSA,3,20,Northern Africa,24,-13,392
whm,West Himalaya,WHM,3,40,Indian Subcontinent,27,86,4999
wsb,West Siberia,WSB,3,30,Siberia,60,100,2291
wva,West Virginia,WVA,3,75,Northeastern U.S.A.,38,-80,2041
win,Windward Is.,WIN,3,81,Caribbean,80,50,2527
wis,Wisconsin,WIS,3,74,North-Central U.S.A.,44,-89,2067
wyo,Wyoming,WYO,3,73,Northwestern U.S.A.,43,-107,2444
chx,Xinjiang,CHX,3,36,China,42,85,3446
yak,Yakutskiya,YAK,3,30,Siberia,0,0,1544
ind-ya,Yanam,IND-YA,4,ind,India,16,82,0
yem,Yemen,YEM,3,35,Arabian Peninsula,16,47,2088
mxt-yu,Yucatán,MXT-YU,4,mxt,Mexico Southeast,20,-88,0
yug,Yugoslavia,YUG,3,13,Southeastern Europe,8,-64,5987
yuk,Yukon,YUK,3,70,Subarctic America,63,-136,1147
chc-yn,Yunnan,CHC-YN,4,chc,China South-Central,25,102,0
mxe-za,Zacatecas,MXE-ZA,4,mxe,Mexico Northeast,23,-103,0
zai,Zaïre,ZAI,3,23,West-Central Tropical Africa,0,0,9670
zam,Zambia,ZAM,3,26,South Tropical Africa,-14,27,6375
chs-zj,Zhejiang,CHS-ZJ,4,chs,China Southeast,29,119,0
zim,Zimbabwe,ZIM,3,26,South Tropical Africa,-18,29,5582
